,tweet_id,retweet_count,favorite_count,created_at
337,832032802820481025,5227,19325,Thu Feb 16 01:04:13 +0000 2017
338,831939777352105988,6893,25983,Wed Feb 15 18:54:34 +0000 2017
339,831926988323639298,37,368,Wed Feb 15 18:03:45 +0000 2017
340,831911600680497154,7313,29957,Wed Feb 15 17:02:36 +0000 2017
341,831670449226514432,2029,11324,Wed Feb 15 01:04:21 +0000 2017
342,831650051525054464,2190,7777,Tue Feb 14 23:43:18 +0000 2017
343,831552930092285952,2569,9750,Tue Feb 14 17:17:22 +0000 2017
344,831322785565769729,1714,9928,Tue Feb 14 02:02:51 +0000 2017
345,831315979191906304,1246,7022,Tue Feb 14 01:35:49 +0000 2017
346,831309418084069378,2730,12671,Tue Feb 14 01:09:44 +0000 2017
347,831262627380748289,2306,12903,Mon Feb 13 22:03:49 +0000 2017
348,830956169170665475,1699,8627,Mon Feb 13 01:46:03 +0000 2017
349,830583320585068544,18926,72508,Sun Feb 12 01:04:29 +0000 2017
350,830173239259324417,6414,0,Fri Feb 10 21:54:58 +0000 2017
351,830097400375152640,3384,10665,Fri Feb 10 16:53:37 +0000 2017
352,829878982036299777,5641,0,Fri Feb 10 02:25:42 +0000 2017
353,829861396166877184,2203,13285,Fri Feb 10 01:15:49 +0000 2017
354,829501995190984704,11951,34423,Thu Feb 09 01:27:41 +0000 2017
355,829449946868879360,2289,11383,Wed Feb 08 22:00:52 +0000 2017
356,829374341691346946,10497,37618,Wed Feb 08 17:00:26 +0000 2017
357,829141528400556032,8349,26615,Wed Feb 08 01:35:19 +0000 2017
358,829011960981237760,18253,57479,Tue Feb 07 17:00:28 +0000 2017
359,828801551087042563,3827,0,Tue Feb 07 03:04:22 +0000 2017
360,828770345708580865,6616,27738,Tue Feb 07 01:00:22 +0000 2017
361,828708714936930305,12618,39725,Mon Feb 06 20:55:28 +0000 2017
362,828650029636317184,1511,10336,Mon Feb 06 17:02:17 +0000 2017
363,828409743546925057,1288,6825,Mon Feb 06 01:07:28 +0000 2017
364,828408677031882754,1441,8302,Mon Feb 06 01:03:14 +0000 2017
365,828381636999917570,2494,13699,Sun Feb 05 23:15:47 +0000 2017
366,828376505180889089,1191,8021,Sun Feb 05 22:55:23 +0000 2017
367,828372645993398273,3284,13590,Sun Feb 05 22:40:03 +0000 2017
368,828361771580813312,192,2379,Sun Feb 05 21:56:51 +0000 2017
369,828046555563323392,3208,12790,Sun Feb 05 01:04:17 +0000 2017
370,828011680017821696,2404,11248,Sat Feb 04 22:45:42 +0000 2017
371,827933404142436356,5883,21902,Sat Feb 04 17:34:40 +0000 2017
372,827653905312006145,3373,16780,Fri Feb 03 23:04:02 +0000 2017
373,827600520311402496,1060,8057,Fri Feb 03 19:31:54 +0000 2017
374,827324948884643840,3436,17261,Fri Feb 03 01:16:53 +0000 2017
375,827199976799354881,2522,11512,Thu Feb 02 17:00:17 +0000 2017
376,826958653328592898,5641,23469,Thu Feb 02 01:01:21 +0000 2017
377,826848821049180160,11592,39769,Wed Feb 01 17:44:55 +0000 2017
378,826615380357632002,4440,0,Wed Feb 01 02:17:19 +0000 2017
379,826598799820865537,288,5565,Wed Feb 01 01:11:25 +0000 2017
